pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,blank,randomPaw,correctKeyPress,allowableKey,correctKey,correctKeyPressNum,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,correctKey,repetitionNumber,stimulusPresent.t,trialCorrect,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,keyRespCorrect,date,frameRate,expName,session,participant,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,4,4,4,,,,,['num_1'],5,0.0562173668295,1,['num_1'],0,[1.021689409390092],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,4,4,4,,,,,['num_0'],5,0.0589000298642,1,['num_0'],0,[1.5521839358843863],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_7'],,,,,,0,5,5,5,,,,,['num_7'],6,0.0490034269169,1,['num_7'],0,[1.460672663524747],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,5,5,5,,,,,['num_1'],6,0.051463321317,0,"['num_4', 'num_1']",0,"[1.426599269732833, 3.3271339563652873]",,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,5,5,5,,,,,['num_4'],6,0.0545012662187,0,"['num_0', 'num_4']",0,"[2.3730173869989812, 4.839872197248042]",,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,5,5,5,,,,,['num_0'],6,0.0550432140008,0,"['num_1', 'num_0']",0,"[0.6234761560335755, 1.5395304132252932]",,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,5,5,5,,,,,['num_0'],6,0.0579634159803,1,['num_0'],0,[2.768112695775926],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,5,5,5,,,,,['num_4'],6,0.0494805546477,1,['num_4'],0,[1.3108685407787561],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,5,5,5,,,,,['num_1'],6,0.0581775694154,1,['num_1'],0,[1.3012361419387162],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,5,5,5,,,,,['num_0'],6,0.0505591174588,1,['num_0'],0,[1.1113742222078145],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_7'],,,,,,0,6,6,6,,,,,['num_7'],7,0.0553722395562,1,['num_7'],0,[2.71908260229975],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,6,6,6,,,,,['num_1'],7,0.0515712182969,0,"['num_7', 'num_1']",0,"[0.12574138352647424, 3.7261902852915227]",,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,6,6,6,,,,,['num_4'],7,0.0546661894768,1,['num_4'],0,[2.2061888743191957],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,6,6,6,,,,,['num_0'],7,0.0499580921605,1,['num_0'],0,[1.1115108369849622],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,6,6,6,,,,,['num_0'],7,0.0593357216567,0,"['num_0', 'num_0']",0,"[0.00033312803134322166, 0.3682973929680884]",,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
