pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,blank,allowableKey,correctKey,correctKeyPressNum,posLoc,correctKeyPress,randomPaw,im_size,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_questions.thisRepN,trials_questions.thisTrialN,trials_questions.thisN,trials_questions.thisIndex,trials_test.thisRepN,trials_test.thisTrialN,trials_test.thisN,trials_test.thisIndex,trials_recogtest.thisRepN,trials_recogtest.thisTrialN,trials_recogtest.thisN,trials_recogtest.thisIndex,correctLocation,correctImage,repetitionNumber,stimulusPresent.t,responseTimeCorrect,pressLoc,responseTimeIncorrect,trialIncorrect,anticipatoryResponse,questionsResponses,AnswerFinished.keys,AnswerFinished.rt,RecordAnswer.keys,correctKey,trialCorrect,recallResponse,recallResponseTime,date,frameRate,expName,session,participant,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,5,0.0576340276366,1.39615245286,[ 0.75988287 -0.00260417],,,,,,,,,,,,2018_Jun_22_1610,59.9622391799,sequenceLearningTask,001,087,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,5,0.0445185458384,0.689941460537,[ 0.73645681 -0.1328125 ],,,,,,,,,,,,2018_Jun_22_1610,59.9622391799,sequenceLearningTask,001,087,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,5,0.0583716683605,0.426192645665,[-0.16105417 -0.2578125 ],,,,,,,,,,,,2018_Jun_22_1610,59.9622391799,sequenceLearningTask,001,087,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,5,0.0566284895876,0.444208638273,[ 0.24304539 -0.1796875 ],,,,,,,,,,,,2018_Jun_22_1610,59.9622391799,sequenceLearningTask,001,087,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,"(-0.75, -0.04)",images/min1.png,6,0.0625398717784,0.453629762614,[ 0.78477306 -0.27604167],,,,,,,,,,,,2018_Jun_22_1610,59.9622391799,sequenceLearningTask,001,087,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,6,0.0556647976764,0.363097697191,[-0.57979502 -0.20052083],,,,,,,,,,,,2018_Jun_22_1610,59.9622391799,sequenceLearningTask,001,087,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,6,0.0461768015684,0.389181378797,[ 0.25036603 -0.19791667],,,,,,,,,,,,2018_Jun_22_1610,59.9622391799,sequenceLearningTask,001,087,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,6,0.0606391546089,0.257680304541,[-0.18301611 -0.30989583],,,,,,,,,,,,2018_Jun_22_1610,59.9622391799,sequenceLearningTask,001,087,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,6,0.0540475675698,0.398057272592,[ 0.75695461 -0.25      ],,,,,,,,,,,,2018_Jun_22_1610,59.9622391799,sequenceLearningTask,001,087,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,6,0.0577808993721,0.461687195206,[ 0.79355783 -0.13020833],,,,,,,,,,,,2018_Jun_22_1610,59.9622391799,sequenceLearningTask,001,087,
