pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,blank,allowableKey,correctKey,correctKeyPressNum,posLoc,correctKeyPress,randomPaw,im_size,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_questions.thisRepN,trials_questions.thisTrialN,trials_questions.thisN,trials_questions.thisIndex,correctLocation,correctImage,repetitionNumber,stimulusPresent.t,responseTimeCorrect,pressLoc,responseTimeIncorrect,trialIncorrect,date,frameRate,expName,session,participant,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,"(-0.75, -0.04)",images/min1.png,4,0.059265206457,0.495188719922,[ 0.73792094 -0.11458333],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,"(0.25, -0.04)",images/min3.png,4,0.0593825397409,0.380462202887,[-0.72181552 -0.17447917],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,"(-0.25, -0.04)",images/min2.png,4,0.0584208991095,0.561473000422,[ 0.26647145 -0.11458333],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,"(0.75, -0.04)",images/min4.png,4,0.0568135151534,0.433204335095,[-0.22108346 -0.14583333],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,"(0.75, -0.04)",images/min4.png,4,0.0573488995487,0.56597638319,[ 0.70131772 -0.15885417],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,"(-0.25, -0.04)",images/min2.png,4,0.0554059259866,0.59952877968,[ 0.72620791 -0.03125   ],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,"(0.25, -0.04)",images/min3.png,4,0.0527626450203,0.453876326616,[-0.26061493 -0.140625  ],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,"(0.75, -0.04)",images/min4.png,4,0.0597328985714,0.375245384515,[ 0.30014641 -0.0625    ],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,"(-0.75, -0.04)",images/min1.png,5,0.057279155988,0.695785150447,[ 0.71303075 -0.140625  ],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,"(0.25, -0.04)",images/min3.png,5,0.0533152601784,0.537638343532,[-0.70131772 -0.16927083],,,2018_Jun_22_1730,59.916841603,sequenceLearningTask,001,088,
