randomPaw,allowableKey,correctKey,blank,pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trialCorrect,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,date,frameRate,expName,session,participant,
,,,allBlank.png,min1.png,min2.png,min3.png,min4.png,,,,,,,,,,,,,8,0,8,0,,,,,0,"['3', '4']",0,"[0.0003800392150878906, 0.4769740104675293]",,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
,,,allBlank.png,min1.png,min2.png,min3.png,min4.png,,,,,,,,,,,,,9,0,9,0,,,,,0,"['3', '4']",0,"[0.2627851963043213, 0.47952699661254883]",,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,,,,,,,,,,,,,,,,,0,0,0,3,1,['4'],0,[0.45345592498779297],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,,,,,,,,,,,,,,,,,0,1,1,2,1,['3'],0,[0.3283989429473877],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,,,,,,,,,,,,,,,,,0,2,2,0,0,"['2', '1']",0,"[0.22053217887878418, 0.4534721374511719]",,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,,,,,,,,,,,,,,,,,0,3,3,1,1,['2'],0,[0.2996490001678467],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,,,,,,,,,,,,,,,,,1,0,4,0,1,['1'],0,[0.503842830657959],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,,,,,,,,,,,,,,,,,1,1,5,1,1,['2'],0,[0.42021679878234863],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,,,,,,,,,,,,,,,,,1,2,6,3,1,['4'],0,[0.35044002532958984],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,,,,,,,,,,,,,,,,,1,3,7,2,1,['3'],0,[0.318878173828125],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,,,,,,,,,,,,,,,,,2,0,8,3,0,"['2', '4']",0,"[0.16989707946777344, 0.4365711212158203]",,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,,,,,,,,,,,,,,,,,2,1,9,0,1,['1'],0,[0.2870299816131592],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,,,,,,,,,,,,,,,,,2,2,10,2,1,['3'],0,[0.21913599967956543],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,,,,,,,,,,,,,,,,,2,3,11,1,1,['2'],0,[0.25333404541015625],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,,,,,,,,,,,,,,,,,3,0,12,2,1,['3'],0,[0.5375301837921143],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,,,,,,,,,,,,,,,,,3,1,13,0,1,['1'],0,[0.3703949451446533],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,,,,,,,,,,,,,,,,,3,2,14,1,1,['2'],0,[0.33832383155822754],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,,,,,,,,,,,,,,,,,3,3,15,3,1,['4'],0,[0.30605602264404297],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,,,,,,,,,,,,,,,,,4,0,16,0,1,['1'],0,[0.3391709327697754],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,,,,,,,,,,,,,,,,,4,1,17,1,0,"['3', '2']",0,"[0.18636202812194824, 0.533689022064209]",,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,,,,,,,,,,,,,,,,,4,2,18,3,1,['4'],0,[0.3039379119873047],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,,,,,,,,,,,,,,,,,4,3,19,2,1,['3'],0,[0.35372304916381836],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,,,,,,,,,,,,,,,,,5,0,20,0,1,['1'],0,[0.35260701179504395],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,,,,,,,,,,,,,,,,,5,1,21,3,1,['4'],0,[0.35362720489501953],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,,,,,,,,,,,,,,,,,5,2,22,1,1,['2'],0,[0.25303101539611816],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,,,,,,,,,,,,,,,,,5,3,23,2,1,['3'],0,[0.22090387344360352],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,,,,,,,,,,,,,,,,,6,0,24,1,1,['2'],0,[0.3898429870605469],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,,,,,,,,,,,,,,,,,6,1,25,0,1,['1'],0,[0.34238100051879883],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,,,,,,,,,,,,,,,,,6,2,26,2,1,['3'],0,[0.2772400379180908],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,,,,,,,,,,,,,,,,,6,3,27,3,1,['4'],0,[0.5107760429382324],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,,,,,,,,,,,,,,,,,7,0,28,3,1,['4'],0,[0.39415812492370605],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,,,,,,,,,,,,,,,,,7,1,29,1,1,['2'],0,[0.27814292907714844],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,,,,,,,,,,,,,,,,,7,2,30,0,1,['1'],0,[0.3624868392944336],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,,,,,,,,,,,,,,,,,7,3,31,2,1,['3'],0,[0.17583584785461426],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,,,,,,,,,,,,,,,,,8,0,32,1,1,['2'],0,[0.11240100860595703],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,,,,,,,,,,,,,,,,,8,1,33,3,1,['4'],0,[0.29668498039245605],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,,,,,,,,,,,,,,,,,8,2,34,2,1,['3'],0,[0.3970608711242676],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,,,,,,,,,,,,,,,,,8,3,35,0,1,['1'],0,[0.26211094856262207],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,,,,,,,,,,,,,,,,,9,0,36,3,1,['4'],0,[0.34670281410217285],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,,,,,,,,,,,,,,,,,9,1,37,2,0,"['4', '3']",0,"[0.3643219470977783, 0.7119669914245605]",,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,,,,,,,,,,,,,,,,,9,2,38,0,1,['1'],0,[0.34650397300720215],,,2018_Feb_21_1616,59.7924664672,sequenceLearningTask,001,002_pilot,
