randomPaw,allowableKey,correctKey,blank,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,trialCorrect,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_1.keys,key_resp_1.corr,key_resp_1.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,date,frameRate,expName,session,participant,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,19,1,77,3,,,,,,,,,1,['4'],0,[0.41074299812316895],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,19,2,78,2,,,,,,,,,1,['3'],0,[0.3965117931365967],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,19,3,79,1,,,,,,,,,1,['2'],0,[0.29642581939697266],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,20,0,80,1,,,,,,,,,1,['2'],0,[0.44602298736572266],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,20,1,81,0,,,,,,,,,1,['1'],0,[0.3796660900115967],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,20,2,82,2,,,,,,,,,1,['3'],0,[0.3700258731842041],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,20,3,83,3,,,,,,,,,1,['4'],0,[0.47083306312561035],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,21,0,84,0,,,,,,,,,1,['1'],0,[0.5042579174041748],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,21,1,85,2,,,,,,,,,1,['3'],0,[0.31775498390197754],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,21,2,86,1,,,,,,,,,1,['2'],0,[0.28644299507141113],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,21,3,87,3,,,,,,,,,1,['4'],0,[0.25302600860595703],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,22,0,88,3,,,,,,,,,1,['4'],0,[0.42029690742492676],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,22,1,89,0,,,,,,,,,1,['1'],0,[0.3863980770111084],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,22,2,90,1,,,,,,,,,1,['2'],0,[0.43656015396118164],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,22,3,91,2,,,,,,,,,1,['3'],0,[0.37053799629211426],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,23,0,92,2,,,,,,,,,1,['3'],0,[0.5182688236236572],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,23,1,93,1,,,,,,,,,1,['2'],0,[0.32104992866516113],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,23,2,94,0,,,,,,,,,1,['1'],0,[0.3542909622192383],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,23,3,95,3,,,,,,,,,1,['4'],0,[0.4058709144592285],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,24,0,96,1,,,,,,,,,1,['2'],0,[0.35597705841064453],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,24,1,97,3,,,,,,,,,1,['4'],0,[0.38989686965942383],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,24,2,98,2,,,,,,,,,1,['3'],0,[0.302753210067749],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,24,3,99,0,,,,,,,,,1,['1'],0,[0.402040958404541],,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Mar_02_1106,60.1290803527,sequenceLearningTask,001,pilot1,
