pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,blank,randomPaw,correctKeyPress,allowableKey,correctKey,correctKeyPressNum,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_questions.thisRepN,trials_questions.thisTrialN,trials_questions.thisN,trials_questions.thisIndex,trials_test.thisRepN,trials_test.thisTrialN,trials_test.thisN,trials_test.thisIndex,trials_recogtest.thisRepN,trials_recogtest.thisTrialN,trials_recogtest.thisN,trials_recogtest.thisIndex,correctKey,repetitionNumber,stimulusPresent.t,trialCorrect,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,keyRespCorrect,questionsResponses,AnswerFinished.keys,AnswerFinished.rt,RecordAnswer.keys,recallResponse,recallResponseTime,date,frameRate,expName,session,participant,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,3,3,3,,,,,,,,,,,,,,,,,['num_0'],4,0.0512041235706,0,"['num_0', 'num_0']",0,"[0.00036512835504254326, 1.9599396758731018]",,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,3,3,3,,,,,,,,,,,,,,,,,['num_4'],4,0.051172123558,1,['num_4'],0,[1.026694164798755],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,3,3,3,,,,,,,,,,,,,,,,,['num_1'],4,0.0511696620179,0,"['num_7', 'num_1']",0,"[0.17512991800140298, 0.9252163795754313]",,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,3,3,3,,,,,,,,,,,,,,,,,['num_0'],4,0.0603151016676,1,['num_0'],0,[0.40016426673355454],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_7'],,,,,,0,4,4,4,,,,,,,,,,,,,,,,,['num_7'],5,0.0560673050531,1,['num_7'],0,[0.7365369175549858],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,4,4,4,,,,,,,,,,,,,,,,,['num_1'],5,0.0519548931097,1,['num_1'],0,[0.9582732136514096],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,4,4,4,,,,,,,,,,,,,,,,,['num_4'],5,0.0478728401522,1,['num_4'],0,[0.9477899272987997],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,4,4,4,,,,,,,,,,,,,,,,,['num_0'],5,0.0469300705354,0,"['num_1', 'num_4', 'num_0']",0,"[0.00022071803869039286, 0.3974922656379931, 1.3664042528835125]",,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,4,4,4,,,,,,,,,,,,,,,,,['num_0'],5,0.05357950916,0,"['num_4', 'num_0']",0,"[0.0002896411460824311, 0.9086026291697635]",,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,4,4,4,,,,,,,,,,,,,,,,,['num_4'],5,0.0499557128023,1,['num_4'],0,[3.244153946319784],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
