randomPaw,allowableKey,correctKey,blank,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,trialCorrect,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,date,frameRate,expName,session,participant,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,2,2,10,0,,,,,,,,,1,['1'],0,[0.3267078399658203],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,2,3,11,2,,,,,,,,,1,['3'],0,[0.20344996452331543],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,3,0,12,2,,,,,,,,,0,"['4', '3']",0,"[0.33676910400390625, 0.6872439384460449]",,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,3,1,13,1,,,,,,,,,1,['2'],0,[0.2707509994506836],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,3,2,14,3,,,,,,,,,1,['4'],0,[0.286574125289917],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,3,3,15,0,,,,,,,,,1,['1'],0,[0.2858419418334961],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,4,0,16,2,,,,,,,,,1,['3'],0,[0.21915888786315918],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,4,1,17,0,,,,,,,,,0,"['2', '1']",0,"[0.23607397079467773, 0.5347919464111328]",,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,4,2,18,3,,,,,,,,,1,['4'],0,[0.3358020782470703],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,4,3,19,1,,,,,,,,,1,['2'],0,[0.23584198951721191],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,5,0,20,0,,,,,,,,,1,['1'],0,[0.33419108390808105],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,5,1,21,3,,,,,,,,,1,['4'],0,[0.3198881149291992],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,5,2,22,2,,,,,,,,,1,['3'],0,[0.517611026763916],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,5,3,23,1,,,,,,,,,1,['2'],0,[0.3189871311187744],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,6,0,24,2,,,,,,,,,1,['3'],0,[0.45413708686828613],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,6,1,25,3,,,,,,,,,1,['4'],0,[0.2856779098510742],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,6,2,26,0,,,,,,,,,1,['1'],0,[0.2871429920196533],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,6,3,27,1,,,,,,,,,1,['2'],0,[0.37011003494262695],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,7,0,28,2,,,,,,,,,1,['3'],0,[0.23598098754882812],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,7,1,29,1,,,,,,,,,1,['2'],0,[0.3194160461425781],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,7,2,30,3,,,,,,,,,1,['4'],0,[0.26937389373779297],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,7,3,31,0,,,,,,,,,1,['1'],0,[0.25029897689819336],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,8,0,32,0,,,,,,,,,1,['1'],0,[0.3692150115966797],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,8,1,33,2,,,,,,,,,1,['3'],0,[0.3367629051208496],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,8,2,34,3,,,,,,,,,1,['4'],0,[0.28728199005126953],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,8,3,35,1,,,,,,,,,1,['2'],0,[0.23528695106506348],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,9,0,36,1,,,,,,,,,0,"['1', '2']",0,"[0.2705252170562744, 0.5704271793365479]",,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,9,1,37,2,,,,,,,,,1,['3'],0,[0.4356651306152344],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,9,2,38,3,,,,,,,,,1,['4'],0,[0.2858428955078125],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,9,3,39,0,,,,,,,,,1,['1'],0,[0.4022810459136963],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,10,0,40,3,,,,,,,,,1,['4'],0,[0.4033181667327881],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,10,1,41,2,,,,,,,,,1,['3'],0,[0.3701450824737549],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,10,2,42,0,,,,,,,,,1,['1'],0,[0.3192000389099121],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,10,3,43,1,,,,,,,,,1,['2'],0,[0.2859649658203125],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,11,0,44,0,,,,,,,,,1,['1'],0,[0.35330796241760254],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,11,1,45,3,,,,,,,,,0,"['3', '4']",0,"[0.31944704055786133, 0.6027541160583496]",,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,11,2,46,1,,,,,,,,,1,['2'],0,[0.2695140838623047],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,11,3,47,2,,,,,,,,,1,['3'],0,[0.25240492820739746],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,12,0,48,3,,,,,,,,,1,['4'],0,[0.33521389961242676],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,12,1,49,2,,,,,,,,,1,['3'],0,[0.3691980838775635],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,12,2,50,1,,,,,,,,,1,['2'],0,[0.2524230480194092],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,12,3,51,0,,,,,,,,,1,['1'],0,[0.25206995010375977],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,13,0,52,0,,,,,,,,,1,['1'],0,[0.36966419219970703],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,13,1,53,1,,,,,,,,,1,['2'],0,[0.40326499938964844],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,13,2,54,2,,,,,,,,,1,['3'],0,[0.2522890567779541],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,13,3,55,3,,,,,,,,,1,['4'],0,[0.2701530456542969],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,14,0,56,1,,,,,,,,,1,['2'],0,[0.31902003288269043],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,14,1,57,0,,,,,,,,,1,['1'],0,[0.500140905380249],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,14,2,58,3,,,,,,,,,1,['4'],0,[0.4357028007507324],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,14,3,59,2,,,,,,,,,1,['3'],0,[0.2814168930053711],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,15,0,60,1,,,,,,,,,1,['2'],0,[0.2529470920562744],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,15,1,61,2,,,,,,,,,0,"['4', '3']",0,"[0.2696371078491211, 0.5861139297485352]",,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,15,2,62,0,,,,,,,,,1,['1'],0,[0.3692770004272461],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,15,3,63,3,,,,,,,,,1,['4'],0,[0.26827192306518555],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,16,0,64,0,,,,,,,,,1,['1'],0,[0.36775898933410645],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,16,1,65,3,,,,,,,,,1,['4'],0,[0.3371119499206543],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,16,2,66,2,,,,,,,,,1,['3'],0,[0.3696761131286621],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,16,3,67,1,,,,,,,,,1,['2'],0,[0.26964497566223145],,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,17,0,68,1,,,,,,,,,0,"['1', '2']",0,"[0.26943516731262207, 0.5693941116333008]",,,,,,,,,,,,,2018_Feb_20_1400,59.9325843018,sequenceLearningTask,001,999,
